"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Kcne1l",244.774401960443,-0.655951230547245,0.118030333905941,1.63361121026509e-09,1.42252746545723e-07
"Trib3",99.7862635093636,0.883433511087124,0.159966983028215,1.76842504960244e-09,1.53282519621992e-07
"Klhl33",3125.30128871615,-0.370654088335448,0.065901017639629,1.90727704031801e-09,1.64559513079548e-07
"Ptpn22",2815.90234491365,-0.464423668877212,0.0833132246742292,1.95392130895206e-09,1.67814182192143e-07
"Gm6277",468.034754729624,-0.606648621047727,0.109735727917427,2.01455578926134e-09,1.72235362910075e-07
"Eif1b",3237.22546509021,0.23504426621955,0.0410863056886465,2.22518188088224e-09,1.88529036024838e-07
"Mt1",10662.8873281462,1.19024244324735,0.218076180155889,2.21741592300613e-09,1.88529036024838e-07
"Ano4",405.939015951203,-0.474017278016639,0.085682926510757,2.45091384851584e-09,2.06723042944997e-07
"Eef1d",3501.48023076602,0.404739916470358,0.0728601936419424,2.46277044843966e-09,2.06795756092418e-07
"Tspan2",3213.480356688,-0.329565244776974,0.0587894725433606,2.48531478644224e-09,2.07761270303076e-07
"Gm29216",39817.7884025919,0.60341961828192,0.109858822835268,2.52345337745705e-09,2.10016082197299e-07
"Zfp703",744.487235939819,0.432365647301129,0.0780808684524261,2.58990795967156e-09,2.14597263495429e-07
"Ccdc159",263.74578186578,-0.517211488324581,0.0939528549211857,2.62527919276877e-09,2.16574019020999e-07
"Jam2",2210.81908477044,-0.378711864460179,0.0683583310616197,2.98078385621831e-09,2.44827788434979e-07
"Eif1",12482.0628727081,0.325569252686657,0.0584170342186179,3.08164495994297e-09,2.49839051946411e-07
"Mvk",436.247526358068,-0.454018784325582,0.0826155796761223,3.07031445894423e-09,2.49839051946411e-07
"Pdlim2",394.866869120397,-0.816529618833253,0.150498052448275,3.07517356934729e-09,2.49839051946411e-07
"Stum",352.820853936036,-0.835567502777963,0.154219451021671,3.19891145276539e-09,2.58233156717014e-07
"Ccdc39",581.736569767777,-0.461252753964592,0.0845501157574449,3.75550433342987e-09,3.01513347185975e-07
"Chac1",259.96137787397,0.628729338224034,0.116139514452345,3.76711343445713e-09,3.01513347185975e-07
"Itgam",202.267552256756,-0.607689462249532,0.112209160675882,3.95518485484857e-09,3.15224881079859e-07
"Fads2",3049.05211039562,-0.543558254741065,0.100286997816976,3.99528487057695e-09,3.17077270593594e-07
"Dlx4os",122.27283838262,-0.867320362907718,0.161567194662921,4.12746100210109e-09,3.25306668841381e-07
"Enpp1",401.628096111025,-0.512471343951088,0.0944764679826343,4.1335687092929e-09,3.25306668841381e-07
"Set",4470.19670079666,0.205786132954402,0.0364455951027316,4.42078541761401e-09,3.45023041161419e-07
"Slc20a2",6544.81927651023,0.292144364518948,0.0528231205792459,4.41672262130173e-09,3.45023041161419e-07
"Ier3",492.608905240211,0.480425783498787,0.0888030334407348,4.81179396643645e-09,3.73987738490509e-07
"Car2",6069.19336732916,-0.460781577169607,0.0852662603753494,5.08150612723904e-09,3.93325303486581e-07
"Nipsnap3b",153.068081552947,-0.750962691502967,0.140708935622645,5.26216090723535e-09,4.05639280754876e-07
"Pacs2",5531.49564743724,-0.319812351261741,0.0584298059432098,5.28974741027694e-09,4.06101465468975e-07
"H2-Ab1",69.8668357027117,-1.22575773866013,0.23104507340704,5.49744699992668e-09,4.20331222039109e-07
"Ky",86.4897963179363,-0.951540111728032,0.179208027970876,5.65669292404697e-09,4.30756021086637e-07
"1700023B13Rik",19.8496523766216,2.24353581314368,0.421821952149659,5.95400187522443e-09,4.51567827706033e-07
"Ywhaz",18503.757395376,0.254075462532009,0.0455156381037122,6.0490785230665e-09,4.56936216627943e-07
"Atp6v1a",16883.1804505842,0.279969001010059,0.0509510170086462,6.08253623735141e-09,4.57625696353371e-07
"Ppp1r14a",281.33707780714,-0.789645265428877,0.148950638366997,6.15424555780569e-09,4.6117611432975e-07
"Gm34256",30.4503839346087,-1.52137085679943,0.288267333312762,6.64621491111613e-09,4.96066096282474e-07
"Glipr2",382.337983125611,0.66299401496586,0.125319843058315,7.16429096846222e-09,5.32621141603976e-07
"Emid1",229.393174189109,-0.777593916168493,0.14754202964798,7.22806358015383e-09,5.3524664519336e-07
"Gpt2",2036.0179571786,0.30239266159144,0.0555850862644576,7.28316209573957e-09,5.37211748465748e-07
"Hnrnpab",3071.98181372008,0.290394897354572,0.0532432446378342,7.41679023061111e-09,5.44931279092048e-07
"Odf2",8218.86399057504,-0.359414724380364,0.0667923976891263,7.69280461082849e-09,5.63011525000284e-07
